angleToItem,distanceToItem,current_direction,current_direction_top_blocked,current_direction_right_blocked,current_direction_bottom_blocked,current_direction_left_blocked,direction
0.0,2.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
0.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
0.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
74.74,11.4,1.0,-1.0,-1.0,-1.0,1.0,1.0
79.7,11.18,1.0,-1.0,-1.0,-1.0,1.0,1.0
84.81,11.05,1.0,-1.0,-1.0,-1.0,1.0,1.0
90.0,11.0,1.0,-1.0,-1.0,-1.0,1.0,2.0
95.19,11.05,2.0,-1.0,-1.0,-1.0,1.0,2.0
95.71,10.05,2.0,1.0,-1.0,-1.0,-1.0,2.0
96.34,9.06,2.0,1.0,-1.0,-1.0,-1.0,3.0
97.13,8.06,3.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,8.0,2.0,-1.0,1.0,-1.0,-1.0,2.0
90.0,7.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,6.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,5.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,4.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,3.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,2.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,1.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
